round_form,g,v,block,cache,stride,outer_count,launches,samples,median_ghs,min_ghs,max_ghs,prod_regs,prod_local_bytes,dynamic_smem_bytes,exact_digests
struct,2,8,256,ca,65,1048576,8,15,10.996204,10.844216,11.089530,96,0,33280,12
struct,2,8,64,ca,65,1048576,8,15,10.962234,10.779058,11.018157,96,0,8320,12
struct,2,8,192,ca,65,1048576,8,15,10.943814,10.787874,11.036132,96,0,24960,12
struct,2,8,128,nc,65,1048576,8,15,10.901262,10.661732,10.981234,96,0,16640,12
struct,2,8,64,nc,65,1048576,8,15,10.892769,10.661949,11.017521,96,0,8320,12
struct,4,8,128,ca,65,1048576,8,15,10.890449,10.690810,10.975142,96,0,8320,12
struct,2,8,128,ca,65,1048576,8,15,10.886378,10.770201,10.974625,96,0,16640,12
rotating,2,8,128,ca,65,1048576,8,15,10.565264,10.407341,10.636587,96,0,16640,12
struct,4,4,96,ca,65,1048576,8,15,10.481515,10.289942,10.600778,56,0,6240,12
